mutant, status
308, SURVIVED
309, SURVIVED
310, SURVIVED
311, SURVIVED
312, SURVIVED
313, SURVIVED
314, SURVIVED
315, SURVIVED
316, SURVIVED
317, SURVIVED
318, SURVIVED
319, SURVIVED
906, SURVIVED
907, SURVIVED
908, SURVIVED
4645, SURVIVED
4646, SURVIVED
4647, SURVIVED
4648, SURVIVED
4649, SURVIVED
4650, SURVIVED
6275, SURVIVED
6276, SURVIVED
6277, SURVIVED
6278, SURVIVED
6279, SURVIVED
6280, SURVIVED
6281, SURVIVED
6282, SURVIVED
6283, SURVIVED
6284, SURVIVED
6285, SURVIVED
6286, SURVIVED
6287, SURVIVED
6288, SURVIVED
6289, SURVIVED
8039, SURVIVED
8056, SURVIVED
8058, SURVIVED
8161, SURVIVED
8167, SURVIVED
8230, SURVIVED
8231, SURVIVED
8269, INIT_DB_FAIL
8270, INIT_DB_FAIL
8924, SURVIVED
8925, SURVIVED
8926, SURVIVED
8927, SURVIVED
8928, SURVIVED
8929, SURVIVED
8930, SURVIVED
8931, SURVIVED
8932, SURVIVED
8933, SURVIVED
8934, SURVIVED
8935, SURVIVED
8936, SURVIVED
8937, SURVIVED
8938, SURVIVED
8939, SURVIVED
8940, SURVIVED
8941, SURVIVED
8942, SURVIVED
8943, SURVIVED
8999, INIT_DB_FAIL
9000, INIT_DB_FAIL
9357, SURVIVED
9358, SURVIVED
9359, SURVIVED
9360, SURVIVED
9361, SURVIVED
9362, SURVIVED
9363, INIT_DB_FAIL
9364, INIT_DB_FAIL
9365, INIT_DB_FAIL
9366, INIT_DB_FAIL
9367, INIT_DB_FAIL
9368, INIT_DB_FAIL
9369, INIT_DB_FAIL
9370, SURVIVED
9371, SURVIVED
9372, INIT_DB_FAIL
9373, INIT_DB_FAIL
9374, SURVIVED
9375, INIT_DB_FAIL
11496, SURVIVED
11707, SURVIVED
11708, SURVIVED
11709, SURVIVED
11710, SURVIVED
11711, SURVIVED
11712, SURVIVED
11713, SURVIVED
11714, SURVIVED
11715, SURVIVED
11716, SURVIVED
11717, SURVIVED
11718, SURVIVED
11719, SURVIVED
11720, SURVIVED
11721, SURVIVED
11722, SURVIVED
11723, SURVIVED
11724, SURVIVED
11725, SURVIVED
11726, SURVIVED
11727, SURVIVED
11728, SURVIVED
11729, SURVIVED
11730, SURVIVED
11770, SURVIVED
11799, SURVIVED
11800, SURVIVED
11801, SURVIVED
11802, SURVIVED
11803, SURVIVED
11804, SURVIVED
11805, SURVIVED
11806, SURVIVED
11807, SURVIVED
11808, SURVIVED
11809, SURVIVED
11810, SURVIVED
11811, SURVIVED
11812, SURVIVED
11813, SURVIVED
11814, SURVIVED
11815, SURVIVED
11816, SURVIVED
11817, SURVIVED
11818, SURVIVED
11819, SURVIVED
11820, SURVIVED
11821, SURVIVED
11822, SURVIVED
11823, SURVIVED
11824, SURVIVED
11825, SURVIVED
11826, SURVIVED
11827, SURVIVED
11828, SURVIVED
11829, SURVIVED
11830, SURVIVED
11831, SURVIVED
11832, SURVIVED
11833, SURVIVED
11834, SURVIVED
11835, SURVIVED
11836, SURVIVED
11837, SURVIVED
11838, SURVIVED
11839, SURVIVED
11840, SURVIVED
11841, SURVIVED
11842, SURVIVED
11843, SURVIVED
11844, SURVIVED
11845, SURVIVED
11846, SURVIVED
11847, SURVIVED
11848, SURVIVED
11849, SURVIVED
11850, SURVIVED
11851, SURVIVED
11852, SURVIVED
11853, SURVIVED
11854, SURVIVED
11855, SURVIVED
11856, SURVIVED
11857, SURVIVED
11858, SURVIVED
11859, SURVIVED
11860, SURVIVED
11861, SURVIVED
11862, SURVIVED
11863, SURVIVED
11864, SURVIVED
11865, SURVIVED
11866, SURVIVED
11867, SURVIVED
11868, SURVIVED
11869, SURVIVED
11870, SURVIVED
11871, SURVIVED
11872, SURVIVED
