mutant, status
2388, INIT_DB_FAIL
2389, SURVIVED
2390, INIT_DB_FAIL
2391, INIT_DB_FAIL
2625, SURVIVED
2984, STDOUT_DIFF_KILL
2985, SURVIVED
2994, SURVIVED
3023, SURVIVED
3024, SURVIVED
3025, SURVIVED
3026, SURVIVED
3027, SURVIVED
3028, SURVIVED
3029, SURVIVED
3030, SURVIVED
3031, SURVIVED
3300, SURVIVED
3366, SURVIVED
3367, SURVIVED
3368, SURVIVED
3389, SURVIVED
3390, SURVIVED
3391, STDOUT_DIFF_KILL
3392, SURVIVED
3393, SURVIVED
3394, SURVIVED
3395, SURVIVED
3396, SURVIVED
3397, SURVIVED
3398, SURVIVED
3399, SURVIVED
3409, SURVIVED
3410, SURVIVED
3411, SURVIVED
3412, SURVIVED
3413, SURVIVED
3414, SURVIVED
3415, SURVIVED
3416, SURVIVED
3417, SURVIVED
3418, SURVIVED
3419, SURVIVED
3420, SURVIVED
3421, SURVIVED
3600, SURVIVED
3601, SURVIVED
3602, SURVIVED
3603, SURVIVED
3604, SURVIVED
3605, SURVIVED
3606, SURVIVED
3607, SURVIVED
3608, SURVIVED
3609, SURVIVED
3610, SURVIVED
3611, SURVIVED
3612, SURVIVED
4252, SURVIVED
4253, SURVIVED
4254, SURVIVED
4255, SURVIVED
4256, SURVIVED
4257, SURVIVED
4258, SURVIVED
4259, SURVIVED
4260, SURVIVED
4261, SURVIVED
4262, SURVIVED
4263, SURVIVED
4264, SURVIVED
4265, SURVIVED
4266, SURVIVED
4267, SURVIVED
4268, SURVIVED
4269, SURVIVED
4270, SURVIVED
4271, SURVIVED
4272, SURVIVED
4273, SURVIVED
4274, SURVIVED
4275, SURVIVED
4276, SURVIVED
4277, SURVIVED
4278, SURVIVED
4279, SURVIVED
4280, SURVIVED
4281, SURVIVED
4282, SURVIVED
4283, SURVIVED
4284, SURVIVED
4285, SURVIVED
4286, SURVIVED
4370, SURVIVED
4371, SURVIVED
4372, SURVIVED
4373, SURVIVED
4374, STDOUT_DIFF_KILL
4375, SURVIVED
4376, SURVIVED
4377, SURVIVED
4378, STDOUT_DIFF_KILL
4379, SURVIVED
4380, SURVIVED
4381, SURVIVED
6529, SURVIVED
6530, SURVIVED
6533, SURVIVED
6534, SURVIVED
6535, SURVIVED
6536, SURVIVED
6537, SURVIVED
6538, SURVIVED
6539, SURVIVED
6540, SURVIVED
6541, SURVIVED
6542, SURVIVED
6558, SURVIVED
6559, SURVIVED
6560, SURVIVED
6561, SURVIVED
6562, SURVIVED
6565, SURVIVED
6566, SURVIVED
6567, SURVIVED
6568, SURVIVED
6569, SURVIVED
6570, SURVIVED
6571, SURVIVED
6599, SURVIVED
7254, SURVIVED
7291, SURVIVED
7406, SURVIVED
7425, SURVIVED
7426, SURVIVED
7427, SURVIVED
7428, SURVIVED
7429, SURVIVED
7430, SURVIVED
7431, SURVIVED
