mutant, status
68962, SURVIVED
68963, SURVIVED
68964, SURVIVED
68967, SURVIVED
68968, SURVIVED
68974, SURVIVED
68975, SURVIVED
68976, SURVIVED
68977, SURVIVED
69027, SURVIVED
69196, SURVIVED
69198, SURVIVED
69199, SURVIVED
69200, SURVIVED
69201, SURVIVED
69202, SURVIVED
69203, SURVIVED
69204, SURVIVED
69205, SURVIVED
69206, SURVIVED
69207, SURVIVED
69208, SURVIVED
69209, SURVIVED
69210, SURVIVED
69211, SURVIVED
69212, SURVIVED
69213, SURVIVED
69223, SURVIVED
69228, SURVIVED
69229, CREATE_DB_FAIL
69240, SURVIVED
69251, SURVIVED
69252, SURVIVED
69253, SURVIVED
69254, SURVIVED
69255, SURVIVED
69256, SURVIVED
69258, CREATE_DB_FAIL
69290, CREATE_DB_FAIL
69302, CREATE_DB_FAIL
69305, SURVIVED
69306, SURVIVED
69307, SURVIVED
69308, CREATE_DB_FAIL
69309, CREATE_DB_FAIL
