mutant, status
0, SURVIVED
1, SURVIVED
2, SURVIVED
3, SURVIVED
4, SURVIVED
5, SURVIVED
6, SURVIVED
7, SURVIVED
8, SURVIVED
9, SURVIVED
10, SURVIVED
11, SURVIVED
12, SURVIVED
13, SURVIVED
14, SURVIVED
15, SURVIVED
16, SURVIVED
17, SURVIVED
18, SURVIVED
19, SURVIVED
20, SURVIVED
21, SURVIVED
22, SURVIVED
23, SURVIVED
24, SURVIVED
25, SURVIVED
26, SURVIVED
27, SURVIVED
28, SURVIVED
29, SURVIVED
30, SURVIVED
31, SURVIVED
32, SURVIVED
33, SURVIVED
34, SURVIVED
35, SURVIVED
36, SURVIVED
37, SURVIVED
38, SURVIVED
39, SURVIVED
40, SURVIVED
41, SURVIVED
42, SURVIVED
43, SURVIVED
44, SURVIVED
45, SURVIVED
46, SURVIVED
47, SURVIVED
48, SURVIVED
49, SURVIVED
50, SURVIVED
51, SURVIVED
52, SURVIVED
53, SURVIVED
54, SURVIVED
55, SURVIVED
56, SURVIVED
57, SURVIVED
58, SURVIVED
59, SURVIVED
60, SURVIVED
61, SURVIVED
62, SURVIVED
63, SURVIVED
64, SURVIVED
65, SURVIVED
66, SURVIVED
67, SURVIVED
68, SURVIVED
69, SURVIVED
70, SURVIVED
71, SURVIVED
72, SURVIVED
73, SURVIVED
74, SURVIVED
75, SURVIVED
76, SURVIVED
77, SURVIVED
78, SURVIVED
79, SURVIVED
80, SURVIVED
81, SURVIVED
82, SURVIVED
83, SURVIVED
84, SURVIVED
85, SURVIVED
86, SURVIVED
87, SURVIVED
88, SURVIVED
89, SURVIVED
90, SURVIVED
91, SURVIVED
92, SURVIVED
93, SURVIVED
94, SURVIVED
95, SURVIVED
96, SURVIVED
97, SURVIVED
98, SURVIVED
99, SURVIVED
100, SURVIVED
101, SURVIVED
102, SURVIVED
