mutant, status
4840, SURVIVED
4842, SURVIVED
4845, INIT_DB_FAIL
4846, INIT_DB_FAIL
4848, SURVIVED
4849, INIT_DB_FAIL
4850, INIT_DB_FAIL
4851, INIT_DB_FAIL
4852, SURVIVED
4853, INIT_DB_FAIL
4854, SURVIVED
4855, SURVIVED
4856, SURVIVED
4857, SURVIVED
4858, SURVIVED
4859, SURVIVED
4860, SURVIVED
4861, SURVIVED
4862, SURVIVED
4863, INIT_DB_FAIL
4864, INIT_DB_FAIL
4865, INIT_DB_FAIL
4871, SURVIVED
4872, SURVIVED
4875, SURVIVED
4880, SURVIVED
4881, SURVIVED
4898, SURVIVED
4899, SURVIVED
4900, SURVIVED
4903, SURVIVED
4904, SURVIVED
4907, SURVIVED
4912, SURVIVED
4913, SURVIVED
4916, SURVIVED
4945, SURVIVED
4946, CREATE_DB_FAIL
4947, SURVIVED
4948, SURVIVED
4949, SURVIVED
4950, SURVIVED
4951, SURVIVED
4952, SURVIVED
4953, SURVIVED
4954, SURVIVED
4955, SURVIVED
4958, CREATE_DB_FAIL
4959, CREATE_DB_FAIL
4974, SURVIVED
4976, SURVIVED
4978, CREATE_DB_FAIL
4979, SURVIVED
4980, SURVIVED
4981, SURVIVED
4982, SURVIVED
4983, SURVIVED
4984, SURVIVED
4985, SURVIVED
4986, SURVIVED
4987, SURVIVED
4988, SURVIVED
4990, CREATE_DB_FAIL
4991, CREATE_DB_FAIL
